"IdAlumno","PromedioAcum","Genero"
"A17595",86.076,"F"
"A17596",84.729,"F"
"A17597",87,"F"
"A17598",80.487,"F"
"A17599",86.371,"F"
"A17600",82.536,"F"
"A17602",91.842,"M"
"A17603",91.19,"F"
"A17604",88,"F"
"A17605",84.882,"F"
"A17606",83.216,"M"
"A17608",71.731,"M"
"A17609",76.588,"M"
"A17611",71.461,"M"
"A17612",70.611,"M"
"A17614",80.729,"M"
"A17616",77.793,"F"
"A17617",90.518,"F"
"A17618",89.575,"F"
"A17621",88.038,"F"
"A17622",80.361,"F"
"A17623",85.794,"M"
"A17629",71.117,"M"
"A17630",82.428,"F"
"A17631",64.851,"M"
"A17632",83.733,"M"
"A17634",82.114,"M"
"A17636",78.524,"M"
"A17640",81,"M"
"A17643",81.708,"M"
"A17644",85.24,"M"
"A17652",79.116,"M"
"A17655",77.54,"M"
"A17658",76.891,"F"
"A17659",73.058,"M"
"A17674",80.128,"M"
"A17675",86.107,"F"
"A17677",76.75,"M"
"A17679",88.88,"F"
"A17680",86.636,"M"
"A17681",79.925,"M"
"A17682",90.045,"F"
"A17684",91.642,"F"
"A18244",70.783,"M"
"A18259",74.148,"F"
"A18266",85.128,"F"
"A18341",75.274,"M"
"A18385",80.304,"M"
"A18390",72.473,"M"
"A18392",72.37,"M"
"A18397",77.491,"M"
"A18400",76.96,"F"
"A18407",78.211,"M"
"A18419",86.326,"F"
"A18428",75.689,"M"
"A18452",89.568,"M"
"A18471",70.859,"M"
"A18843",76.229,"M"
"A18870",69.363,"M"
"A18884",77.396,"M"
"A18892",83.979,"F"
"A18902",94.03,"F"
"A18909",85.189,"F"
"A18954",93.794,"M"
"A18983",87.511,"M"
"A18985",88.156,"M"
"A18993",76.636,"M"
"A18999",93.086,"M"
"A19003",73.907,"M"
"A19005",91.352,"F"
"A19006",86.148,"M"
"A19008",86.133,"F"
"A19010",75.15,"F"
"A19011",90.326,"F"
"A19012",90,"F"
"A19013",87.184,"M"
"A19014",84.019,"M"
"A19029",80.6,"M"
"A19039",76.35,"M"
"A19040",82.2,"M"
"A19041",88.032,"F"
"A19042",78.473,"F"
"A19043",92.157,"F"
"A19044",86.81,"F"
"A19045",79,"M"
"A19048",81.263,"M"
"A19049",79.648,"M"
"A19052",83.918,"F"
"A19053",86.794,"M"
"A19055",88.432,"M"
"A19058",94.088,"M"
"A19061",81.789,"M"
"A19064",83.5,"F"
"A19065",78.85,"M"
"A19066",81.947,"F"
"A19068",80,"M"
"A19071",77.216,"M"
"A19072",72.968,"M"
"A19076",85.756,"M"
"A19078",79.94,"F"
"A19080",90.55,"F"
"A19081",83.805,"M"
"A19083",86,"M"
"A19086",98.666,"M"
"A19088",82.44,"M"
"A19089",91.206,"M"
"A19090",83.913,"M"
"A19093",85.72,"F"
"A19095",77.428,"F"
"A19096",87.68,"F"
"A19099",79.666,"M"
"A19101",89.307,"F"
"A19104",91.13,"F"
"A19110",93.653,"M"
"A19113",76,"M"
"A19114",86.785,"M"
"A19115",92.708,"F"
"A19117",83.4,"F"
"A19120",68.127,"M"
"A19124",58.769,"M"
"A19126",72.375,"M"
"A19129",81.857,"F"
"A19130",90.538,"M"
"A19132",96.846,"M"
"A19133",83.785,"M"
"A19134",97.244,"M"
"A19135",89,"M"
"A19136",85.142,"M"
"A19138",77.085,"M"
"A19139",86.6,"M"
"A19140",77.187,"M"
"A19141",87.083,"F"
"A19144",62.5,"M"
"A19146",90.291,"F"
"A19148",78.833,"M"
"A19150",83.285,"F"
"A19151",70.521,"M"
"A19153",75.148,"F"
"A19154",72,"M"
"A19155",87.25,"M"
"A19156",84.795,"M"
"A19158",75.818,"F"
"A19159",81.575,"M"
"A19161",82.285,"F"
"A19162",88.163,"M"
"A19164",74.617,"M"
"A19166",91.584,"M"
"A19167",68.074,"M"
"A19168",71.545,"M"
"A19169",85.181,"M"
"A19170",82.188,"F"
"A19172",0,"M"
"A19173",73.675,"M"
"A19174",83.108,"F"
"A19175",0,"F"
"A19176",74.567,"M"
"A19177",0,"F"
"A19178",0,"F"
"A19180",81.647,"M"
"A19183",0,"F"
"A19184",0,"M"
"A19957",73.868,"M"
"A19965",73.393,"M"
"A19993",69.428,"M"
"A20011",73.163,"M"
"A20016",84.891,"F"
"A20018",67.348,"M"
"A20020",83.133,"F"
"A20024",83.736,"M"
"A20025",78.377,"M"
"A20027",79.45,"M"
"A20036",66.431,"M"
"A20038",81.381,"F"
"A20044",78.88,"M"
"A20049",77.492,"M"
"A20051",76.142,"M"
"A20055",89.5,"M"
"A20058",73.333,"F"
"A20065",84.634,"F"
"A20120",73.186,"M"
"A20202",81.666,"M"
"A20236",87.6,"F"
"A20237",89.448,"F"
"A20250",94.046,"F"
"A20260",94.169,"M"
"A20261",81.513,"M"
"A20266",81.666,"M"
"A20267",87.25,"M"
"A20269",89.729,"M"
"A20272",91.722,"F"
"A20278",88.428,"F"
"A20281",80.945,"F"
"A20283",92.576,"M"
"A20284",82.901,"M"
"A20287",93.076,"F"
"A20290",91.875,"M"
"A20292",87.485,"F"
"A20298",79.916,"M"
"A20301",80.256,"M"
"A20304",90.068,"F"
"A20305",86.435,"F"
"A20310",92.72,"M"
"A20311",78.714,"M"
"A20312",76.134,"M"
"A20317",78.37,"M"
"A20318",87.92,"M"
"A20319",90.357,"F"
"A20321",81.884,"M"
"A20324",73.875,"M"
"A20325",76.742,"M"
"A20326",86.777,"F"
"A20328",94.16,"M"
"A20329",94.285,"M"
"A20330",77.538,"M"
"A20331",87.388,"M"
"A20332",80.666,"F"
"A20333",0,"M"
"A20334",0,"M"
"A20339",0,"F"
"A20341",0,"M"
"A20344",82.135,"M"
"A20345",84.628,"M"
"A20346",0,"F"
"A20566",72.123,"F"
"A20580",88.884,"M"
"A20648",72.741,"M"
"A20667",74.5,"F"
"A20669",93.026,"M"
"A20672",82.133,"M"
"A20673",86.517,"F"
"A20675",82.648,"M"
"A20696",80.562,"M"
"A20707",89.15,"F"
"A20708",84,"F"
"A20709",85.333,"M"
"A20710",88.478,"M"
"A20711",86.886,"M"
"A20985",74.351,"M"
"A20998",91.517,"M"
"A21017",81.653,"M"
"A21031",79.879,"F"
"A21034",80.593,"F"
"A21044",80.784,"F"
"A21057",73.863,"M"
"A21059",81.019,"M"
"A21061",77.098,"M"
"A21065",87.098,"F"
"A21069",84.762,"F"
"A21071",82.682,"M"
"A21076",85.978,"M"
"A21078",90.875,"M"
"A21081",71.58,"M"
"A21085",90.266,"M"
"A21087",79.868,"M"
"A21099",81.433,"M"
"A21105",75.088,"M"
"A21106",90.312,"M"
"A21107",91.224,"F"
"A21108",78.615,"F"
"A21109",84.061,"M"
"A21111",85.631,"F"
"A21116",95.117,"F"
"A21118",89.333,"M"
"A21119",68.142,"M"
"A21124",74.735,"M"
"A21128",79.291,"F"
"A21129",86.846,"F"
"A21131",75.333,"M"
"A21132",88.901,"M"
"A21133",82.204,"M"
"A21134",93.897,"M"
"A21142",84.783,"F"
"A21152",91.432,"F"
"A21154",85.5,"M"
"A21155",79.208,"M"
"A21156",88.636,"F"
"A21159",87.891,"M"
"A21160",77.227,"F"
"A21163",84.621,"F"
"A21164",86.548,"F"
"A21168",76.388,"M"
"A21172",85.555,"F"
"A21175",81.5,"M"
"A21177",68.541,"M"
"A21180",80.85,"M"
"A21181",83.92,"M"
"A21184",83,"M"
"A21185",83.12,"M"
"A21187",88.947,"M"
"A21188",82.4,"M"
"A21189",80.92,"M"
"A21190",83.127,"M"
"A21193",84.285,"F"
"A21194",89.115,"M"
"A21198",89.5,"M"
"A21199",87.482,"M"
"A21203",83.321,"M"
"A21205",94.097,"F"
"A21208",84.864,"F"
"A21211",95.6,"M"
"A21213",86.5,"M"
"A21214",82.833,"M"
"A21216",87.384,"F"
"A21220",83.846,"F"
"A21221",83.727,"F"
"A21225",82.181,"F"
"A21227",0,"F"
"A21231",85.437,"F"
"A21232",87.038,"F"
"A21233",0,"M"
"A21235",87.307,"F"
"A21237",87.647,"F"
"A21242",75.795,"M"
"A21243",91.9,"M"
"A21244",88.791,"M"
"A21245",82.153,"M"
"A21247",82.865,"F"
"A21249",84.062,"M"
"A21251",79.761,"M"
"A21252",71.459,"M"
"A21253",81.578,"M"
"A21255",82.363,"M"
"A21256",0,"M"
"A21257",0,"M"
"A21260",78.969,"M"
"A21263",84.944,"M"
"A21265",82.8,"F"
"A21267",78.81,"F"
"A21268",85.968,"F"
"A21270",72.694,"F"
"A21273",94,"F"
"A21274",92.642,"M"
"A21275",98.545,"F"
"A21276",75.692,"M"
"A21523",72.472,"M"
"A21613",72.914,"M"
"A21695",82.775,"F"
"A21710",88.49,"M"
"A21716",67.75,"M"
"A21730",86.472,"F"
"A21741",78.338,"F"
"A21742",84.977,"M"
"A21744",97.14,"F"
